Country Name,Country Code,Indicator Name,Indicator Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Pre-demographic dividend,PRE,"Population, female",SP.POP.TOTL.FE.IN,294543007,303547152,312477453,321723661,331016598,340095045,349894667,360421314,371082849,382130249,393636976,405444056,417351684,429248989,441383208,453838944,466509604,479470722,492774153,506152223,519608514,533422205
Puerto Rico,PRI,"Population, female",SP.POP.TOTL.FE.IN,1984185,1986207,1987441,1985473,1978032,1967465,1956993,1947415,1938768,1917778,1896060,1875894,1847092,1816703,1783979,1743631,1676985,1679953,1728988,1721560,1701206,1695462
"Korea, Dem. People's Rep.",PRK,"Population, female",SP.POP.TOTL.FE.IN,12115395,12183636,12264788,12338331,12403291,12461285,12515075,12568332,12616337,12658695,12702791,12750473,12801961,12855212,12907056,12956390,13003192,13047566,13089212,13127524,13164298,13200116
Portugal,PRT,"Population, female",SP.POP.TOTL.FE.IN,5394794,5420513,5437846,5451866,5465459,5480404,5494333,5506976,5516395,5516002,5502221,5480877,5460676,5445951,5433909,5425635,5424120,5430271,5437732,5473258,5498027,5557489
Paraguay,PRY,"Population, female",SP.POP.TOTL.FE.IN,2616730,2650831,2683305,2714511,2744307,2772888,2801155,2830572,2864220,2902421,2942591,2984194,3027162,3071251,3116116,3161074,3205602,3249592,3294711,3338534,3378612,3420122
West Bank and Gaza,PSE,"Population, female",SP.POP.TOTL.FE.IN,1530053,1572199,1615402,1659247,1703735,1749079,1798811,1848287,1897763,1947103,1996554,2045758,2095174,2144431,2193382,2236936,2293162,2350358,2408409,2467389,2527169,2587546
Pacific island small states,PSS,"Population, female",SP.POP.TOTL.FE.IN,1023899,1037484,1050973,1064323,1077688,1090911,1104070,1117331,1130865,1144708,1158504,1172368,1186311,1200236,1214287,1228312,1242108,1255838,1271751,1289709,1308286,1327648
Post-demographic dividend,PST,"Population, female",SP.POP.TOTL.FE.IN,526988717,529608485,532291445,534918141,537744847,540816723,543997946,546729949,549224069,550575073,552606442,554765997,557042838,559291549,561594539,563538657,565364452,566855269,568902317,568527711,567371064,570060079
French Polynesia,PYF,"Population, female",SP.POP.TOTL.FE.IN,125623,127691,129683,131657,133606,135333,136653,137643,138535,139413,140215,141102,142192,143309,144350,145448,146645,147819,149048,150255,151485,152831
Qatar,QAT,"Population, female",SP.POP.TOTL.FE.IN,232662,243737,255237,269332,287464,310533,340380,376711,415537,453291,490463,528201,562633,597391,639636,680215,712137,751299,754994,734561,740889,751956
Romania,ROU,"Population, female",SP.POP.TOTL.FE.IN,11218841,11136920,11070152,10998038,10929699,10767349,10589029,10502500,10442125,10391699,10345857,10308025,10269735,10220714,10160603,10102021,10044758,9994608,9944933,9876919,9833682,9833726
Russian Federation,RUS,"Population, female",SP.POP.TOTL.FE.IN,77591468,77339545,77146216,76976788,76829928,76754261,76745227,76775747,76796366,76854396,77004045,77186118,77377883,77565067,77738907,77858777,77886300,77890416,77774863,77519443,77249735,77025630
Rwanda,RWA,"Population, female",SP.POP.TOTL.FE.IN,4357653,4457573,4567035,4682280,4802717,4928236,5056940,5187356,5319801,5453874,5584599,5712630,5843900,5979182,6121445,6269800,6418989,6568936,6723217,6879649,7035658,7193422
South Asia,SAS,"Population, female",SP.POP.TOTL.FE.IN,707952151,721332995,734286402,746905275,759160992,770949244,782639453,794563832,806644087,818820983,830730796,842229770,853398329,864283574,875300960,886423949,897383323,908086083,918711070,928581582,937536709,947313755
Saudi Arabia,SAU,"Population, female",SP.POP.TOTL.FE.IN,9695331,9929220,10172103,10497404,10901784,11316699,11737168,12159682,12546820,12874436,13177067,13473465,13761419,13975740,14124969,14364501,14682638,14991273,15110254,15184150,15429586,15700888
Sudan,SDN,"Population, female",SP.POP.TOTL.FE.IN,13714630,14031002,14362444,14728917,15133106,15566424,16007627,16452670,16851113,17193271,17566190,17985615,18496684,19084493,19690357,20344125,21005857,21624451,22231053,22842482,23454198,24074537
Senegal,SEN,"Population, female",SP.POP.TOTL.FE.IN,5164280,5294846,5430752,5572083,5720487,5874678,6033364,6198778,6370907,6548585,6731566,6918883,7111154,7307890,7508739,7714564,7925155,8140163,8359194,8579664,8800406,9025674
Singapore,SGP,"Population, female",SP.POP.TOTL.FE.IN,2051990,2028098,2059943,2109638,2166064,2242360,2349440,2406590,2438290,2484222,2543402,2582486,2613879,2643311,2677036,2679065,2691403,2722116,2712947,2601057,2689047,2825143
Solomon Islands,SLB,"Population, female",SP.POP.TOTL.FE.IN,218316,223600,228933,234329,239841,245462,251172,257098,263369,270007,276985,284224,291650,299207,306834,314498,322200,329962,337950,346168,354373,362553
Sierra Leone,SLE,"Population, female",SP.POP.TOTL.FE.IN,2585175,2689447,2779282,2852644,2914008,2976883,3051126,3134095,3221070,3307516,3394265,3481154,3567901,3653843,3742430,3833302,3924338,4016374,4109203,4201801,4293526,4385407
El Salvador,SLV,"Population, female",SP.POP.TOTL.FE.IN,3120812,3131771,3139645,3144476,3146720,3153993,3166854,3179191,3191359,3203792,3216582,3229694,3242771,3254990,3266614,3276963,3284064,3287678,3295300,3307476,3319856,3335102
San Marino,SMR,"Population, female",SP.POP.TOTL.FE.IN,14283,14603,14847,15049,15264,15473,15648,15838,16137,16665,17037,17098,17148,17242,17381,17492,17530,17527,17444,17326,17281,17261
Somalia,SOM,"Population, female",SP.POP.TOTL.FE.IN,4703881,4875714,5053614,5226944,5384226,5549417,5711552,5852726,6000046,6094496,6205382,6410507,6637951,6864502,7128282,7413310,7685953,7969926,8246544,8509953,8775069,9046859
Serbia,SRB,"Population, female",SP.POP.TOTL.FE.IN,3881249,3873864,3865190,3854522,3840939,3827397,3813031,3799644,3786331,3758250,3741536,3724821,3708638,3691286,3672802,3653751,3633970,3614847,3591804,3558849,3470118,3445036
Sub-Saharan Africa (excluding high income),SSA,"Population, female",SP.POP.TOTL.FE.IN,357002244,366497419,376320998,386485991,396991396,407874772,419122058,430696739,442602713,454790498,467259431,480081903,493208989,506665195,520322735,534170783,548367017,562889571,577720860,592621843,607599532,622914559
South Sudan,SSD,"Population, female",SP.POP.TOTL.FE.IN,3430780,3581690,3741461,3911543,4092201,4283691,4484211,4684472,4924626,5186770,5414203,5614589,5667728,5658104,5593169,5388641,5256106,5280526,5358155,5427688,5508626,5594895
Sub-Saharan Africa,SSF,"Population, female",SP.POP.TOTL.FE.IN,357043730,366538352,376361661,386526735,397032885,407916359,419164461,430739177,442646200,454832692,467301884,480125005,493252660,506709770,520367834,534216359,548412951,562935827,577767458,592668801,607656298,622971393
Small states,SST,"Population, female",SP.POP.TOTL.FE.IN,7805284,7898081,7994757,8096560,8200359,8306200,8412343,8513962,8603812,8677442,8756423,8851689,8962674,9071198,9169090,9269149,9375772,9473251,9552330,9631310,9736737,9841894
Sao Tome and Principe,STP,"Population, female",SP.POP.TOTL.FE.IN,75135,77081,79040,81031,83058,85124,87204,89268,91281,93216,95131,97038,98903,100713,102465,104172,105837,107476,109528,111802,113972,116254
Suriname,SUR,"Population, female",SP.POP.TOTL.FE.IN,245707,249404,252750,255810,258937,262113,265315,268537,271788,275035,278227,281345,284406,287483,290695,294024,297374,300864,304409,307598,310416,313329
Slovak Republic,SVK,"Population, female",SP.POP.TOTL.FE.IN,2764954,2763015,2762058,2761778,2761440,2761765,2763650,2766484,2768035,2770582,2774136,2776247,2778259,2779841,2782101,2785261,2788054,2790976,2793108,2787545,2777654,2773537
Slovenia,SVN,"Population, female",SP.POP.TOTL.FE.IN,1022497,1021709,1020858,1020982,1022532,1026612,1026544,1033990,1036572,1037546,1039195,1040114,1040642,1039891,1038201,1036459,1037800,1042591,1047063,1048601,1050321,1054325
Sweden,SWE,"Population, female",SP.POP.TOTL.FE.IN,4507394,4521528,4536646,4551999,4574597,4604872,4636700,4672101,4707641,4738700,4768910,4804202,4846823,4892930,4949232,5010725,5063720,5110007,5142210,5169131,5201777,5224802
Eswatini,SWZ,"Population, female",SP.POP.TOTL.FE.IN,544835,549165,552866,556082,559202,562588,564813,565573,566355,567504,569036,571047,573494,576287,579405,582740,586223,589812,594739,600441,605504,610772
Sint Maarten (Dutch part),SXM,"Population, female",SP.POP.TOTL.FE.IN,15814,16209,16777,17097,17373,17620,17758,17964,17929,17629,17437,17555,17951,18393,18376,18191,18325,18570,18817,18920,18999,19157
Seychelles,SYC,"Population, female",SP.POP.TOTL.FE.IN,41486,40933,40663,40744,41489,41587,42403,42438,43487,42194,42453,43102,43671,44575,45099,45576,45934,46256,46598,46958,56766,56834
Syrian Arab Republic,SYR,"Population, female",SP.POP.TOTL.FE.IN,8483717,8707194,8942531,9190476,9613142,10247376,10631467,10806581,11060526,11256631,11199824,10658890,9962642,9541583,9430784,9451008,9636103,10024320,10364931,10643230,11046621,11601649
Turks and Caicos Islands,TCA,"Population, female",SP.POP.TOTL.FE.IN,10039,10611,11177,11746,12316,12886,13463,14046,14627,15181,15819,16575,17267,18046,18906,19707,20535,21341,21952,22385,22697,22892
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,4431767,4607685,4813244,5005974,5183320,5359155,5544390,5740238,5936573,6145281,6361207,6589646,6827550,7047152,7270988,7515149,7772311,8032044,8289666,8556210,8827313,9104070
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, female",SP.POP.TOTL.FE.IN,898645015,906210230,913543590,920832105,927990010,934999070,941967988,948874868,955763239,963126254,971428356,979662822,987630379,995286443,1002951883,1010863557,1017801751,1023911300,1029192935,1033239264,1036387946,1039022802
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, female",SP.POP.TOTL.FE.IN,226796484,226909746,227153200,227446142,227790692,227996139,228580659,229406053,230332156,231370355,232326445,233382875,234457846,235577030,236684202,237691295,238621497,239601855,240243897,240624713,237641664,237668630
Togo,TGO,"Population, female",SP.POP.TOTL.FE.IN,2648182,2717015,2788032,2859955,2939845,3024956,3110745,3197084,3281899,3368325,3455284,3543083,3632229,3722767,3814990,3908948,4004288,4101080,4199517,4299551,4400474,4501907
Thailand,THA,"Population, female",SP.POP.TOTL.FE.IN,32601809,32892200,33172952,33442524,33707262,33977340,34245582,34506526,34759118,35010449,35263239,35505484,35728989,35928923,36120993,36304062,36456433,36584375,36706197,36807094,36890933,36975565
Tajikistan,TJK,"Population, female",SP.POP.TOTL.FE.IN,3320485,3381399,3441092,3500113,3558928,3618745,3680787,3746357,3816785,3892805,3973488,4058822,4149426,4244558,4341940,4439244,4538006,4640105,4741717,4843921,4944055,5038700
Turkmenistan,TKM,"Population, female",SP.POP.TOTL.FE.IN,2383903,2413772,2444135,2477064,2511099,2546448,2583794,2623822,2666836,2712698,2760957,2810945,2861936,2913195,2963818,3013322,3061479,3108189,3154282,3200126,3244911,3288041
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, female",SP.POP.TOTL.FE.IN,262648578,266240911,269773408,273270061,276694235,280056192,283369699,286666488,289845761,293279163,296706056,300067541,303381293,306665780,309929989,313134220,316216157,319164863,321912606,324379616,326762024,329321681
Timor-Leste,TLS,"Population, female",SP.POP.TOTL.FE.IN,442957,451611,461240,472646,484856,496805,508195,518938,530149,542678,555592,568065,580201,590849,600053,609206,618322,627425,637023,647343,657338,666774
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, female",SP.POP.TOTL.FE.IN,144306358,146877728,149707578,152624360,155555239,158523837,161554698,164664818,167896478,171030785,174188986,177647443,181273554,184889551,188304102,191552979,194899344,198302545,201537177,204618405,207727807,210961268
Tonga,TON,"Population, female",SP.POP.TOTL.FE.IN,51093,51398,51713,52015,52297,52584,52863,53093,53313,53530,53580,53482,53359,53207,53093,53032,52981,52956,53161,53578,54010,54456
South Asia (IDA & IBRD),TSA,"Population, female",SP.POP.TOTL.FE.IN,707952151,721332995,734286402,746905275,759160992,770949244,782639453,794563832,806644087,818820983,830730796,842229770,853398329,864283574,875300960,886423949,897383323,908086083,918711070,928581582,937536709,947313755
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, female",SP.POP.TOTL.FE.IN,357043730,366538352,376361661,386526735,397032885,407916359,419164461,430739177,442646200,454832692,467301884,480125005,493252660,506709770,520367834,534216359,548412951,562935827,577767458,592668801,607656298,622971393
Trinidad and Tobago,TTO,"Population, female",SP.POP.TOTL.FE.IN,679829,683908,688004,692285,696458,700602,704812,709337,714240,719388,724786,730188,735428,740577,745604,750563,761204,768058,768972,772874,775955,778529
Tunisia,TUN,"Population, female",SP.POP.TOTL.FE.IN,5041762,5095996,5150557,5203104,5253882,5305565,5358773,5414120,5472893,5543870,5617270,5684301,5752827,5821555,5890057,5957666,6023338,6086590,6148895,6205901,6257745,6313196
Turkiye,TUR,"Population, female",SP.POP.TOTL.FE.IN,32807631,33249782,33711804,34174902,34626495,34908674,35358365,35854904,36408685,36952354,37432245,37921200,38440841,38962439,39497319,40020312,40572768,41164975,41578108,41972288,42398537,42580261
Tuvalu,TUV,"Population, female",SP.POP.TOTL.FE.IN,4822,4835,4878,4922,4965,5006,5045,5093,5146,5202,5260,5280,5272,5261,5244,5230,5252,5301,5367,5449,5513,5561
Tanzania,TZA,"Population, female",SP.POP.TOTL.FE.IN,18383543,18887539,19417879,19973779,20551919,21146405,21745199,22325047,22934464,23604611,24302653,25043537,25829040,26682282,27588579,28504126,29411111,30309141,31229064,32170681,33126817,34100897
Uganda,UGA,"Population, female",SP.POP.TOTL.FE.IN,13037567,13443274,13837865,14236112,14647855,15074658,15512657,15962058,16424860,16899880,17387117,17886355,18416102,18983798,19617063,20303726,20994287,21707475,22431520,23153140,23848253,24511532
Ukraine,UKR,"Population, female",SP.POP.TOTL.FE.IN,25912812,25714014,25531650,25361812,25204855,25065410,24938391,24827572,24720003,24619417,24540714,24465742,24331203,24260001,24181888,24090080,23982374,23871817,23737604,23554678,20550751,20128390
Upper middle income,UMC,"Population, female",SP.POP.TOTL.FE.IN,1196044825,1206402891,1216749599,1227098969,1236978417,1246287296,1256239696,1266446275,1276467026,1287077699,1298810853,1310840426,1322633225,1334256665,1345453829,1356684949,1367240346,1376872191,1384989802,1391447114,1393902955,1398170757
Uruguay,URY,"Population, female",SP.POP.TOTL.FE.IN,1707985,1711718,1715206,1718045,1720550,1723823,1727547,1731478,1735600,1739923,1744447,1749192,1754081,1759187,1764048,1767547,1769223,1769262,1768921,1766768,1764421,1764016
United States,USA,"Population, female",SP.POP.TOTL.FE.IN,145972802,147242226,148594732,149946323,151383683,152829130,154289840,155660194,156968302,158043988,159064447,160034189,161084758,162158414,163224028,164151818,164926348,165599805,167210787,167558793,168258067,169134944
Uzbekistan,UZB,"Population, female",SP.POP.TOTL.FE.IN,12643062,12795643,12948519,13102791,13264039,13453551,13669723,13899688,14294052,14678761,14892274,15123261,15377752,15645110,15916811,16186297,16470365,16783206,17107641,17446107,17809564,18188387
St. Vincent and the Grenadines,VCT,"Population, female",SP.POP.TOTL.FE.IN,55587,55395,55114,54797,54464,54143,53871,53620,53341,53026,52710,52397,52139,51944,51704,51523,51425,51288,51199,51123,51020,50986
"Venezuela, RB",VEN,"Population, female",SP.POP.TOTL.FE.IN,12646261,12876104,13103406,13329254,13551989,13770877,13984235,14190951,14393135,14591553,14786972,14978971,15164502,15341129,15457477,15379664,15021517,14605811,14376694,14243056,14304904,14583567
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,10437,10849,11277,11724,12190,12679,13197,13714,14001,14238,14506,14641,14826,15063,15287,15482,15653,15825,16010,16146,16242,16340
Virgin Islands (U.S.),VIR,"Population, female",SP.POP.TOTL.FE.IN,56692,56652,56593,56555,56492,56467,56507,56549,56560,56548,56537,56512,56498,56504,56516,56522,56512,56473,56425,56360,56275,56166
Viet Nam,VNM,"Population, female",SP.POP.TOTL.FE.IN,41131420,41527860,41924749,42317983,42699789,43082251,43478136,43906522,44362702,44823899,45291192,45764918,46239694,46709887,47171586,47620370,48058062,48488283,48922527,49331842,49685569,50008702
Vanuatu,VUT,"Population, female",SP.POP.TOTL.FE.IN,99363,101971,104599,107257,109949,112704,115554,118481,121424,124400,127469,130637,133885,137185,140606,144135,147683,151256,154903,158631,162433,166304
World,WLD,"Population, female",SP.POP.TOTL.FE.IN,3136413830,3176651929,3216968975,3257407548,3298053221,3338627720,3379954512,3421586487,3463387658,3505011731,3548185959,3591698373,3635141333,3678134535,3721243713,3764326162,3806470152,3847547132,3887624729,3922604405,3954754860,3992233117
Samoa,WSM,"Population, female",SP.POP.TOTL.FE.IN,89754,90285,90732,91135,91624,92269,93008,93778,94597,95507,96459,97429,98400,99370,100415,101510,102603,103759,105296,107213,109007,110622
Kosovo,XKX,"Population, female",SP.POP.TOTL.FE.IN,901404,900225,899196,898226,897175,896134,895479,895444,896097,901130,905096,910703,908173,896017,890797,897635,900766,896722,897541,895801,886937,881015
"Yemen, Rep.",YEM,"Population, female",SP.POP.TOTL.FE.IN,9739899,9997157,10262472,10548931,10864747,11195418,11531790,11874775,12224951,12583615,12950282,13323201,13700388,14077389,14453847,14831892,15211556,15593113,15963067,16313210,16673411,17053363
South Africa,ZAF,"Population, female",SP.POP.TOTL.FE.IN,24979734,25178665,25379489,25583854,25795511,26023987,26287724,26570865,26857414,27164417,27493643,27837495,28228865,28721087,29004108,29175940,29517286,29879107,30221143,30497646,30725879,30962518
Zambia,ZMB,"Population, female",SP.POP.TOTL.FE.IN,5431354,5593084,5764425,5947650,6144175,6351748,6569350,6794701,7026189,7260708,7499172,7743342,7993413,8247891,8507289,8772120,9041177,9314079,9589102,9864121,10140033,10420876
Zimbabwe,ZWE,"Population, female",SP.POP.TOTL.FE.IN,6300516,6353380,6405855,6450827,6511613,6578079,6638373,6714016,6805605,6911674,7041528,7192279,7347527,7502101,7656047,7810471,7966181,8122618,8284447,8449834,8614935,8786155
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,43950,44327,44663,45069,45591,46151,46724,47292,47858,48307,48632,48927,49191,49430,49650,49847,50026,50188,50211,50207,50173,50052
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,208105454,213639672,219383109,225323582,231510642,237971119,244643269,251454018,258458696,265618237,272984078,280667225,288561965,296812526,304990205,313109208,321598038,330312015,339223107,348121884,357024605,366123110
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,10562202,11397483,11862726,12302104,12828447,13067961,13339006,13827977,14240377,14780282,15399105,15946572,16543889,17071446,17520861,18028696,18549862,19090409,19692301,20254878,20766442,21319695
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,142544253,146607408,150802028,155128353,159566469,164131785,168835003,173692501,178692528,183831229,189042690,194304472,199691984,205176501,210797955,216559711,222392987,228301205,234311512,240372329,246509095,252803314
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,8603948,8904704,9226105,9564193,9917959,10289510,10678522,11084704,11510656,11955662,12417550,12894065,13381965,13878923,14390171,14915293,15445494,15983035,16517497,17051491,17590767,18135546
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1512520,1508084,1503547,1497909,1490629,1481621,1472476,1464541,1458913,1456171,1454486,1452162,1449241,1444890,1442176,1440219,1435881,1428828,1419264,1404454,1385573,1367813
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,36773,38429,40082,41679,41829,40535,39191,37787,36307,35672,35885,36043,36148,36188,36628,37380,38071,38842,39615,40361,40786,40903
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,154042051,157408982,160812658,164610917,169022419,173897535,178974938,183992599,188615966,192771152,196985610,201549697,206143891,210751036,215379725,219863044,224412950,228907787,232616766,236071329,240117694,244397809
United Arab Emirates,ARE,"Population, male",SP.POP.TOTL.MA.IN,2490318,2616985,2743771,2955416,3428088,4181088,5044718,5818211,6174991,6210600,6244376,6276725,6307775,6337454,6365662,6392484,6418331,6443813,6475368,6512037,6547744,6583587
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,18683681,18879701,19077001,19279145,19484104,19685381,19886051,20095357,20154486,20395723,20634269,20870445,21106519,21340426,21571303,21800696,22027014,22249019,22465694,22678199,22889298,23099192
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1460849,1447623,1435939,1424136,1410916,1396993,1383609,1371050,1359071,1347572,1337883,1329192,1321149,1313130,1304368,1295024,1284995,1274767,1265512,1256498,1250079,1249091
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,29570,29419,29233,29024,28793,28541,28265,27960,27660,27358,27014,26627,26199,25739,25240,24701,24134,23535,22921,22289,21873,21685
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,36301,36745,37188,37660,38181,38745,39367,40012,40597,41141,41653,42096,42488,42853,43176,43461,43715,43961,44236,44511,44782,45051
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,9673988,9787220,9894184,10017910,10158068,10352205,10570891,10797546,10967548,11119039,11312918,11504523,11668610,11827651,12005262,12199874,12382224,12567835,12727887,12750753,12917404,13228956
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,3918661,3941237,3968722,3999610,4022191,4036230,4049665,4061602,4072621,4088543,4110918,4139517,4177916,4236544,4292559,4325519,4347806,4367938,4387322,4407703,4451539,4498048
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,3939827,3975655,4018433,4069677,4124857,4182354,4281933,4379608,4436811,4499932,4564895,4628966,4691683,4752032,4808608,4858524,4903447,4948191,4982975,5002750,5004112,4991175
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,3274704,3380524,3510499,3644928,3779881,3923619,4090782,4306730,4516033,4681456,4852194,5030076,5203501,5319770,5407865,5534391,5703611,5894278,6066599,6231786,6400926,6575319
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5053895,5076053,5099079,5128227,5163364,5202866,5245964,5290436,5341400,5414163,5450949,5480089,5508176,5544490,5576976,5602537,5632391,5667234,5695855,5722387,5774066,5844542
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,3688186,3803644,3923249,4050781,4177609,4302650,4434190,4568957,4707267,4849408,4995588,5145619,5301391,5463004,5629265,5800206,5974735,6152125,6330776,6509711,6689295,6870720
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,6235842,6441322,6655617,6876721,7101155,7323354,7542832,7767361,7999494,8241604,8498100,8760692,9028931,9305419,9587217,9870655,10150983,10431262,10718602,11010698,11299155,11588745
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,68254669,69348344,70392333,71337878,72029553,72599534,73036822,73488956,74213622,75035683,75898562,76786999,77673568,78535803,79459393,80422431,81314565,82164179,83063714,83998088,84859213,85672234
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3774971,3745714,3718227,3691351,3665020,3640438,3617711,3597386,3576521,3555965,3537445,3519159,3500151,3478837,3455141,3430331,3406489,3383675,3363373,3335414,3135133,3118409
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,442442,462113,499158,545191,591506,638061,684764,731120,754000,753809,765423,787263,810704,841699,877025,912197,931994,933409,920430,908649,912199,918619
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,162950,164975,167044,169176,171363,173576,175825,178154,180438,182453,184251,185807,187310,188854,190240,191491,192656,193737,194506,195028,195817,196863
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,2048780,2042127,2021970,1997892,1979755,1955141,1923825,1891814,1859263,1826158,1792508,1765649,1745230,1724918,1706069,1688023,1670236,1652504,1632854,1610168,1591814,1580360
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4591597,4556725,4523002,4489280,4459004,4436621,4419504,4406288,4393551,4379214,4369319,4366594,4368497,4374019,4377765,4372291,4361667,4350290,4327916,4287977,4248965,4223098
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,129160,133040,136966,140947,144981,149054,153151,157247,161229,165130,169071,173067,177061,180965,184798,188588,192359,195944,198810,201231,203747,206461
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,30625,30832,31042,31239,31408,31567,31740,31921,31673,31399,31513,31606,31669,31722,31368,30993,30975,30926,30872,30759,30645,30585
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,4495206,4573038,4651928,4731985,4814077,4897753,4981806,5066350,5151373,5236810,5322361,5407879,5493370,5578609,5663718,5748534,5832721,5916395,5992275,6058547,6126364,6206083
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,89303580,90318606,91303580,92281701,93237364,94163019,95059746,95935867,96806825,97676016,98526889,99355387,100185186,101008689,101794390,102567011,103354449,104119798,104779288,105291292,105733027,106241115
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,127609,128040,128444,128828,129191,129595,130103,130593,131042,131499,131915,132304,132669,133010,133334,133644,133936,134222,134528,134833,135084,135285
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,182567,185758,188857,191886,194829,197694,200494,203252,206007,208672,211233,213768,216245,218636,220910,223039,225018,226876,228677,230451,232205,233894
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,325859,335712,345443,353558,358990,363234,367382,371464,375519,379579,383648,387678,391565,395186,398635,401839,404630,407103,409408,411668,413930,416196
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,873216,889736,906524,924057,942814,962918,984034,1005676,1027633,1049169,1070002,1090948,1112387,1134801,1158587,1183506,1208678,1233202,1256708,1277735,1298807,1321662
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,1974502,2022398,2066395,2113131,2155709,2196084,2241689,2290077,2337512,2373193,2393552,2407515,2404501,2413818,2455675,2501138,2549256,2605852,2672080,2728280,2788352,2869330
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,15537670,15679267,15827350,15980129,16144143,16300607,16477210,16666800,16853131,17020863,17212832,17401943,17580481,17715184,17917918,18138241,18409285,18688790,18896073,19002171,19351209,19929169
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,51593196,51427912,51287572,51151207,51023769,50833704,50654999,50567585,50397708,50292655,50190366,50093248,50000020,49902655,49794663,49690815,49614561,49567024,49468508,49088461,48497338,48560043
Switzerland,CHE,"Population, male",SP.POP.TOTL.MA.IN,3561139,3589820,3616695,3642259,3667699,3705120,3758858,3810541,3853536,3900073,3945595,3995499,4048150,4097813,4147577,4190034,4221862,4253063,4285784,4320511,4357959,4397109
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,71489,72148,72809,73492,74161,74823,75493,76153,76785,77253,77683,78314,78916,79598,80392,81190,82353,83603,84587,85444,86165,86797
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,7794228,7874834,7952250,8028913,8107283,8186994,8268938,8353799,8437983,8521805,8605184,8688160,8775549,8865948,8971935,9114379,9281300,9450404,9579957,9675022,9729531,9741974
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,654865007,659030348,663027988,667008138,670816557,674398683,677925783,681368810,684712330,688484213,693176026,697792609,702159650,706169297,710100087,714208198,717291023,719565010,720928153,721140373,720646499,719541674
Cote d'Ivoire,CIV,"Population, male",SP.POP.TOTL.MA.IN,8909248,9133271,9356595,9579903,9803630,10028098,10254400,10483883,10717965,10944299,11165128,11391437,11652068,11950528,12257085,12572382,12893352,13218128,13547621,13877714,14215570,14569031
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,7900648,8121554,8349841,8583601,8822729,9073988,9337569,9609692,9890121,10176648,10469879,10771471,11106213,11463852,11814923,12157838,12501234,12855489,13210626,13564231,13922522,14289697
